1.30,1.526,0.616,0.034,1.383E-02
1.35,1.466,0.535,0.042,1.543E-02
1.40,1.408,0.458,0.051,1.668E-02
1.45,1.351,0.385,0.061,1.746E-02
1.50,1.296,0.317,0.072,1.766E-02
1.55,1.243,0.255,0.084,1.721E-02
1.60,1.193,0.198,0.097,1.608E-02
1.65,1.144,0.149,0.111,1.437E-02
1.70,1.100,0.107,0.126,1.225E-02
1.75,1.059,0.075,0.142,1.003E-02
1.80,1.024,0.052,0.160,8.211E-03
1.85,0.996,0.041,0.181,7.438E-03
1.90,0.980,0.040,0.206,8.340E-03
1.95,0.981,0.045,0.236,1.079E-02
2.00,1.008,0.043,0.279,1.198E-02
2.02,1.031,0.037,0.302,1.097E-02
2.04,1.065,0.027,0.330,8.318E-03
2.06,1.115,0.009,0.366,3.018E-03
2.08,1.188,-0.019,0.414,-6.690E-03
2.10,1.298,-0.065,0.481,-2.412E-02
2.12,1.476,-0.143,0.581,-5.632E-02
2.14,1.790,-0.297,0.753,-1.249E-01
2.16,2.420,-0.683,1.097,-3.096E-01
2.162,2.515,-0.755,1.150,-3.453E-01
2.164,2.622,-0.842,1.210,-3.883E-01
2.166,2.747,-0.949,1.279,-4.416E-01
2.168,2.897,-1.085,1.362,-5.103E-01
2.170,3.154,-1.272,1.577,-6.358E-01
2.172,3.538,-1.549,1.769,-7.747E-01
2.174,4.227,-2.048,2.113,-1.024E+00
2.176,6.391,-3.613,3.195,-1.807E+00
2.1761,6.679,-3.821,3.339,-1.911E+00
2.1762,7.027,-4.074,3.514,-2.037E+00
2.1763,7.463,-4.389,3.732,-2.194E+00
2.1764,8.033,-4.801,4.017,-2.401E+00
2.1765,8.833,-5.380,4.417,-2.690E+00
2.1766,10.098,-6.295,5.049,-3.147E+00
2.1767,12.693,-8.172,6.347,-4.086E+00
